,context,question_type,question
0,"1 Conversion disorder: A somatic symptom disorder involving the actual loss of bodily function such as blindness, paralysis, and numbness due to excessive anxiety. 2  Illness anxiety disorder: A somatic symptom disorder involving persistent and excessive worry about developing a serious illness. A diagnosis of somatic symptom disorder requires that the subject have recurring somatic complaints for at least six months. Symptoms are sometimes similar to those of other illnesses and may last for years. Usually, the symptoms begin appearing during adolescence, and patients are diagnosed before the age of 30 years.In the DSM-5 the disorder has been renamed to somatic symptom disorder (SSD), and includes SSD with predominantly somatic complaints (previously referred to as somatization disorder), and SSD with pain features (previously known as pain disorder). Somatization disorder (also Briquet's syndrome) is a mental disorder characterized by recurring, multiple, and current, clinically significant complaints about somatic symptoms.",binary,"['Is conversion disorder a type of somatic symptom disorder?', 'Is a six-month duration of somatic complaints sufficient for a somatic symptom disorder diagnosis?', 'Are somatic symptom disorders more commonly diagnosed in adulthood?']"
1,"1 Conversion disorder: A somatic symptom disorder involving the actual loss of bodily function such as blindness, paralysis, and numbness due to excessive anxiety. 2  Illness anxiety disorder: A somatic symptom disorder involving persistent and excessive worry about developing a serious illness. A diagnosis of somatic symptom disorder requires that the subject have recurring somatic complaints for at least six months. Symptoms are sometimes similar to those of other illnesses and may last for years. Usually, the symptoms begin appearing during adolescence, and patients are diagnosed before the age of 30 years.In the DSM-5 the disorder has been renamed to somatic symptom disorder (SSD), and includes SSD with predominantly somatic complaints (previously referred to as somatization disorder), and SSD with pain features (previously known as pain disorder). Somatization disorder (also Briquet's syndrome) is a mental disorder characterized by recurring, multiple, and current, clinically significant complaints about somatic symptoms.",factual,"['What is conversion disorder?', 'What is illness anxiety disorder?', 'What is the minimum duration of recurring somatic complaints for a somatic symptom disorder diagnosis?', 'What is the typical age of onset for somatic symptom disorder?']"
2,"1 Conversion disorder: A somatic symptom disorder involving the actual loss of bodily function such as blindness, paralysis, and numbness due to excessive anxiety. 2  Illness anxiety disorder: A somatic symptom disorder involving persistent and excessive worry about developing a serious illness. A diagnosis of somatic symptom disorder requires that the subject have recurring somatic complaints for at least six months. Symptoms are sometimes similar to those of other illnesses and may last for years. Usually, the symptoms begin appearing during adolescence, and patients are diagnosed before the age of 30 years.In the DSM-5 the disorder has been renamed to somatic symptom disorder (SSD), and includes SSD with predominantly somatic complaints (previously referred to as somatization disorder), and SSD with pain features (previously known as pain disorder). Somatization disorder (also Briquet's syndrome) is a mental disorder characterized by recurring, multiple, and current, clinically significant complaints about somatic symptoms.",open-ended,"['How does conversion disorder differ from illness anxiety disorder?', 'What are some examples of somatic complaints that might be present in somatic symptom disorder?', 'How has the classification of somatic symptom disorder evolved in the DSM-5?']"
3,"1 Cover and cook on low for 5-8 hours, until ham is thoroughly heated. 2  If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 3  Oven Method. 1 If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 2  Oven Method. 3  The goal is to reheat the ham without drying it out.2 1/2 hours. Here's how: Preheat the oven to 325, place the ham on a rack in a baking dish with a little water in the bottom. Wrap in foil, bake for about 2 hours, or until th … e internal temperature is 135 - 140 degrees. 15 minutes per pound at 350 degrees. So, for a 7 lb. ham you are looking at just over an hour. If you aren't sure, cut a small slit on the largest part of the ham and feel if it's warmed through. Bone-in hams cook faster.",binary,"['Should a ham be wrapped in foil when reheating?', 'Do bone-in hams require a longer cooking time?']"
4,"1 Cover and cook on low for 5-8 hours, until ham is thoroughly heated. 2  If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 3  Oven Method. 1 If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 2  Oven Method. 3  The goal is to reheat the ham without drying it out.2 1/2 hours. Here's how: Preheat the oven to 325, place the ham on a rack in a baking dish with a little water in the bottom. Wrap in foil, bake for about 2 hours, or until th … e internal temperature is 135 - 140 degrees. 15 minutes per pound at 350 degrees. So, for a 7 lb. ham you are looking at just over an hour. If you aren't sure, cut a small slit on the largest part of the ham and feel if it's warmed through. Bone-in hams cook faster.",factual,"['How long should ham be cooked on low heat?', 'What is the oven temperature for reheating a ham?', 'How long should a 7 lb ham be baked at 350 degrees?']"
5,"1 Cover and cook on low for 5-8 hours, until ham is thoroughly heated. 2  If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 3  Oven Method. 1 If you want to glaze the ham, place on a broiler pan and cover with glaze; broil 10 from the heat for 10-15 minutes, watching carefully, until glaze is cooked. 2  Oven Method. 3  The goal is to reheat the ham without drying it out.2 1/2 hours. Here's how: Preheat the oven to 325, place the ham on a rack in a baking dish with a little water in the bottom. Wrap in foil, bake for about 2 hours, or until th … e internal temperature is 135 - 140 degrees. 15 minutes per pound at 350 degrees. So, for a 7 lb. ham you are looking at just over an hour. If you aren't sure, cut a small slit on the largest part of the ham and feel if it's warmed through. Bone-in hams cook faster.",open-ended,"['Describe the steps for glazing a ham.', 'How can you tell if a ham is heated through without a thermometer?', 'Why is it important to add water to the baking dish when reheating a ham?']"
6,"1 Lysosomes are the main sites of digestion, that is the break-down of structures, within cells. 2  There are, however, some circumstances (diseases/conditions) in which lysosomes begin to 'break-down' living cells-not just useless parts of cells or potentially harmful structures. A lysosome is a type of membrane-bound organelle that is present in animal cells. Ranging in diameter from approx. 50nm to 1 μm § , lysosomes have a single outer membrane consisting of a phospholipid bilayer and contain acid hydrolases which are enzymes capable of breaking-down macromolecules.Making the world better, one answer at a time. The two types of lysosomes are Peroxisomes which is a vesicle containing oxidases and catalase. It's located by the smooth ER of the animal cell. The second type of lysosme is the Proteasome which is a tiny barrel-shaped structure that contain proteases. Lysosomes are distributed among different types of eukaryotic cells  by their level of nutrients. Cells processing a high quantity of  larger nutrients will generally have m … ore lysosomes than other  cells.",binary,"['Are lysosomes present in plant cells?', 'Do lysosomes contain enzymes?', 'Can lysosomes break down macromolecules?']"
7,"1 Lysosomes are the main sites of digestion, that is the break-down of structures, within cells. 2  There are, however, some circumstances (diseases/conditions) in which lysosomes begin to 'break-down' living cells-not just useless parts of cells or potentially harmful structures. A lysosome is a type of membrane-bound organelle that is present in animal cells. Ranging in diameter from approx. 50nm to 1 μm § , lysosomes have a single outer membrane consisting of a phospholipid bilayer and contain acid hydrolases which are enzymes capable of breaking-down macromolecules.Making the world better, one answer at a time. The two types of lysosomes are Peroxisomes which is a vesicle containing oxidases and catalase. It's located by the smooth ER of the animal cell. The second type of lysosme is the Proteasome which is a tiny barrel-shaped structure that contain proteases. Lysosomes are distributed among different types of eukaryotic cells  by their level of nutrients. Cells processing a high quantity of  larger nutrients will generally have m … ore lysosomes than other  cells.",factual,"['What is the size range of lysosomes?', 'What is the function of acid hydrolases?', 'What are the two types of lysosomes?', 'Where are lysosomes found?', 'What is the outer membrane of a lysosome made of?']"
8,"1 Lysosomes are the main sites of digestion, that is the break-down of structures, within cells. 2  There are, however, some circumstances (diseases/conditions) in which lysosomes begin to 'break-down' living cells-not just useless parts of cells or potentially harmful structures. A lysosome is a type of membrane-bound organelle that is present in animal cells. Ranging in diameter from approx. 50nm to 1 μm § , lysosomes have a single outer membrane consisting of a phospholipid bilayer and contain acid hydrolases which are enzymes capable of breaking-down macromolecules.Making the world better, one answer at a time. The two types of lysosomes are Peroxisomes which is a vesicle containing oxidases and catalase. It's located by the smooth ER of the animal cell. The second type of lysosme is the Proteasome which is a tiny barrel-shaped structure that contain proteases. Lysosomes are distributed among different types of eukaryotic cells  by their level of nutrients. Cells processing a high quantity of  larger nutrients will generally have m … ore lysosomes than other  cells.",open-ended,"['How do lysosomes contribute to cell function?', 'What happens when lysosomes break down living cells?', ' How are lysosomes distributed between eukaryotic cells?']"
9,"1 Most of these diseases are infections, caused by a variety of bacteria, viruses, and parasites that can be foodborne. 2  Other diseases are poisonings, caused by harmful toxins or chemicals that have contaminated the food, for example, poisonous mushrooms. Many different disease-causing microbes, or pathogens, can contaminate foods, so there are many different foodborne infections. In addition, poisonous chemicals, or other harmful substances can cause foodborne diseases if they are present in food.Other Pathogens. There are several types of molds (fungi) that are foodborne pathogens, and algae found in plankton can cause paralytic shellfish poisoning. Several other types of toxins found in seafood can also cause illness. Some foodborne microbes make people ill by forming toxins in foods that affect the gut or the neurological system. When an illness is caused by a ingesting a toxin and causes an intoxication it will generally make people sick faster than other foodborne pathogens which cause an infection.",binary,"['Can foodborne illnesses be caused by bacteria?', 'Are poisonous mushrooms a type of foodborne poisoning?', 'Do all foodborne pathogens cause illness at the same rate?']"
